# ra 0.00000000000000000e+00 dec -8.52729075788638369e+01 rotSkyPos 1.18434959915902198e+02 MJD(TAI) 5.97253712509999968e+04
# id xmm ymm xpup ypup ra_obs dec_obs
125 -2.61612362982349282e+02 -1.43080895513022512e+02 -2.53470812494176086e-02 -1.38628123016216239e-02 1.99663471805804598e+01 -8.59276810647013320e+01
126 -2.63103656518908167e+02 -7.06499923902457994e+01 -2.54948167564144137e-02 -6.84600371451676761e-03 1.60035549729232081e+01 -8.62246008353651945e+01
127 -2.40715669308682834e+02 -7.71279059892135450e+01 -2.33275023469396436e-02 -7.47438425236333567e-03 1.51028401382906274e+01 -8.61102584509767581e+01
128 -2.51829370979302297e+02 -6.89154669616529247e+01 -2.44036148654242398e-02 -6.67827786513937316e-03 1.52431870531716385e+01 -8.61863393885200395e+01
129 -2.37134560535968745e+02 -1.00111979225028492e+02 -2.29799900543309274e-02 -9.70154785414160080e-03 1.62350958735002351e+01 -8.60072338008843644e+01
130 -2.69404935306088930e+02 -7.77210583176280920e+01 -2.61044157557799548e-02 -7.53090442458842577e-03 1.67994236684321656e+01 -8.62217331512420913e+01
131 -2.58503375495558544e+02 -9.15980353532119409e+01 -2.50488312873208829e-02 -8.87579796362110256e-03 1.69682010893207433e+01 -8.61244654541491172e+01
132 -2.68375761667959523e+02 -7.29269249307307632e+01 -2.60049798843481478e-02 -7.06644744690978262e-03 1.64523005504142432e+01 -8.62365251364194592e+01
133 -2.37668700723713073e+02 -7.32335654205182749e+01 -2.30326319692773542e-02 -7.09711356603759738e-03 1.47002025796997806e+01 -8.61127877794121730e+01
134 -2.69948765419695519e+02 -9.06843462477107352e+01 -2.61565496563146808e-02 -8.78681405336636037e-03 1.75904956802323476e+01 -8.61724390507709614e+01
135 -2.53497501415699048e+02 -7.52613048715249704e+01 -2.45648912221713180e-02 -7.29311238605047721e-03 1.57199345612808798e+01 -8.61685876064839817e+01
136 -2.61695919170896786e+02 -8.97923996153195674e+01 -2.53578939176731973e-02 -8.70073232808672888e-03 1.70506486055744944e+01 -8.61440323689396763e+01
